Scope,Project,Namespace,Type,Member,Maintainability Index,Cyclomatic Complexity,Depth of Inheritance,Class Coupling,Lines of Code
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.TeamInformationJSONData,nickname.set(string) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.TeamInformationJSONData,region.get() : string,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.TeamInformationJSONData,region.set(string) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.TeamInformationJSONData,rookie_year.get() : int,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.TeamInformationJSONData,rookie_year.set(int) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.TeamInformationJSONData,team_number.get() : int,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.TeamInformationJSONData,team_number.set(int) : void,95,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.TeamInformationJSONData,TeamInformationJSONData(),100,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.TeamInformationJSONData,website.get() : string,98,1,,0,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha.TeamInformationJSONData,website.set(string) : void,95,1,,0,1
Type,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha_Information, ,37,5,8,27,186
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha_Information,AerialAssist_RahChaCha_Information(),91,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha_Information,Dispose(bool) : void,82,3,,3,3
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,AerialAssist_RahChaCha_Information,InitializeComponent() : void,24,1,,24,181
Type,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ConsoleWindow, ,57,22,7,50,146
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ConsoleWindow,ConsoleWindow(),91,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ConsoleWindow,ConsoleWindow(),84,1,,1,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ConsoleWindow,"ConsoleWindow_Load(object, EventArgs) : void",66,4,,9,6
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ConsoleWindow,Dispose(bool) : void,82,3,,3,3
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ConsoleWindow,"exitToolStripMenuItem_Click(object, EventArgs) : void",100,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ConsoleWindow,ExportToCSV() : void,58,4,,8,12
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ConsoleWindow,"exportToCSVToolStripMenuItem_Click(object, EventArgs) : void",100,1,,1,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ConsoleWindow,getLog() : string[],72,2,,1,4
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ConsoleWindow,InitializeComponent() : void,31,1,,35,106
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ConsoleWindow,"timer1_Tick(object, EventArgs) : void",69,3,,4,5
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,ConsoleWindow,WriteLine(string) : void,74,1,,3,4
Type,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Home, ,58,39,7,71,258
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Home,"changeLogToolStripMenuItem_Click(object, EventArgs) : void",89,1,,3,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Home,checkInternet() : void,69,4,,4,6
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Home,Dispose(bool) : void,82,3,,3,3
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Home,"eventInformationLookupToolStripMenuItem_Click(object, EventArgs) : void",89,1,,3,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Home,"eventSelector_SelectedIndexChanged_1(object, EventArgs) : void",53,11,,10,21
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Home,"exitToolStripMenuItem_Click(object, EventArgs) : void",100,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Home,"fRC3710TeamInformationToolStripMenuItem_Click(object, EventArgs) : void",89,1,,3,2
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Home,"frcLogoPictureBox_Click(object, EventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Home,Home(),79,1,,3,3
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Home,"Home_FormClosing(object, FormClosingEventArgs) : void",98,1,,2,1
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Home,"Home_Load(object, EventArgs) : void",55,3,,15,16
Member,FRC_Scouting_V2.Desktop (Debug),FRC_Scouting_V2,Home,InitializeComponent() : void,24,1,,38,180
